"state_fips","state","county_fips","county","year","value","data_comment","x95_confidence_interval","confidence_interval_low","confidence_interval_high","x","fips_code"
39,"Ohio",39061,"Hamilton",2020,"10.6%",NA,"(10.2% - 11.1%)","10.2%","11.1%",NA,"061"
39,"Ohio",39061,"Hamilton",2021,"10.5%",NA,"(9.3% - 11.8%)","9.3%","11.8%",NA,"061"
39,"Ohio",39067,"Harrison",2018,"10.3%",NA,"(9.7% - 11.0%)","9.7%","11.0%",NA,"067"
39,"Ohio",39067,"Harrison",2019,"10.8%",NA,"(10.2% - 11.6%)","10.2%","11.6%",NA,"067"
39,"Ohio",39067,"Harrison",2020,"10.7%",NA,"(10.2% - 11.4%)","10.2%","11.4%",NA,"067"
39,"Ohio",39067,"Harrison",2021,"10.7%",NA,"(9.4% - 12.1%)","9.4%","12.1%",NA,"067"
39,"Ohio",39081,"Jefferson",2018,"10.2%",NA,"(9.6% - 10.9%)","9.6%","10.9%",NA,"081"
39,"Ohio",39081,"Jefferson",2019,"10.8%",NA,"(10.2% - 11.5%)","10.2%","11.5%",NA,"081"
39,"Ohio",39081,"Jefferson",2020,"10.8%",NA,"(10.3% - 11.4%)","10.3%","11.4%",NA,"081"
39,"Ohio",39081,"Jefferson",2021,"10.9%",NA,"(9.7% - 12.4%)","9.7%","12.4%",NA,"081"
39,"Ohio",39085,"Lake",2018,"9.2%",NA,"(8.7% - 9.8%)","8.7%","9.8%",NA,"085"
39,"Ohio",39085,"Lake",2019,"9.9%",NA,"(9.4% - 10.5%)","9.4%","10.5%",NA,"085"
39,"Ohio",39085,"Lake",2020,"9.9%",NA,"(9.3% - 10.4%)","9.3%","10.4%",NA,"085"
39,"Ohio",39085,"Lake",2021,"9.9%",NA,"(8.7% - 11.2%)","8.7%","11.2%",NA,"085"
39,"Ohio",39087,"Lawrence",2018,"10.8%",NA,"(10.1% - 11.5%)","10.1%","11.5%",NA,"087"
39,"Ohio",39087,"Lawrence",2019,"11.3%",NA,"(10.6% - 12.1%)","10.6%","12.1%",NA,"087"
39,"Ohio",39087,"Lawrence",2020,"11.3%",NA,"(10.7% - 12.0%)","10.7%","12.0%",NA,"087"
39,"Ohio",39087,"Lawrence",2021,"11.2%",NA,"(9.9% - 12.6%)","9.9%","12.6%",NA,"087"
39,"Ohio",39093,"Lorain",2018,"9.6%",NA,"(9.0% - 10.1%)","9.0%","10.1%",NA,"093"
39,"Ohio",39093,"Lorain",2019,"10.2%",NA,"(9.7% - 10.8%)","9.7%","10.8%",NA,"093"
39,"Ohio",39093,"Lorain",2020,"10.2%",NA,"(9.7% - 10.7%)","9.7%","10.7%",NA,"093"
39,"Ohio",39093,"Lorain",2021,"10.6%",NA,"(9.3% - 11.9%)","9.3%","11.9%",NA,"093"
39,"Ohio",39095,"Lucas",2018,"10.4%",NA,"(9.9% - 11.0%)","9.9%","11.0%",NA,"095"
39,"Ohio",39095,"Lucas",2019,"10.8%",NA,"(10.4% - 11.4%)","10.4%","11.4%",NA,"095"
39,"Ohio",39095,"Lucas",2020,"11.5%",NA,"(11.0% - 12.0%)","11.0%","12.0%",NA,"095"
39,"Ohio",39095,"Lucas",2021,"11.2%",NA,"(10.0% - 12.6%)","10.0%","12.6%",NA,"095"
39,"Ohio",39099,"Mahoning",2018,"10.1%",NA,"(9.5% - 10.6%)","9.5%","10.6%",NA,"099"
39,"Ohio",39099,"Mahoning",2019,"10.4%",NA,"(9.9% - 10.9%)","9.9%","10.9%",NA,"099"
39,"Ohio",39099,"Mahoning",2020,"10.9%",NA,"(10.4% - 11.4%)","10.4%","11.4%",NA,"099"
39,"Ohio",39099,"Mahoning",2021,"10.6%",NA,"(9.4% - 12.0%)","9.4%","12.0%",NA,"099"
39,"Ohio",39103,"Medina",2018,"8.7%",NA,"(8.2% - 9.4%)","8.2%","9.4%",NA,"103"
39,"Ohio",39103,"Medina",2019,"9.5%",NA,"(8.9% - 10.0%)","8.9%","10.0%",NA,"103"
39,"Ohio",39103,"Medina",2020,"9.7%",NA,"(9.2% - 10.2%)","9.2%","10.2%",NA,"103"
39,"Ohio",39103,"Medina",2021,"9.7%",NA,"(8.5% - 11.0%)","8.5%","11.0%",NA,"103"
39,"Ohio",39113,"Montgomery",2018,"9.8%",NA,"(9.3% - 10.3%)","9.3%","10.3%",NA,"113"
39,"Ohio",39113,"Montgomery",2019,"11.0%",NA,"(10.4% - 11.5%)","10.4%","11.5%",NA,"113"
39,"Ohio",39113,"Montgomery",2020,"11.1%",NA,"(10.6% - 11.6%)","10.6%","11.6%",NA,"113"
39,"Ohio",39113,"Montgomery",2021,"11.0%",NA,"(9.8% - 12.3%)","9.8%","12.3%",NA,"113"
39,"Ohio",39121,"Noble",2018,"9.8%",NA,"(9.1% - 10.5%)","9.1%","10.5%",NA,"121"
39,"Ohio",39121,"Noble",2019,"10.3%",NA,"(9.6% - 11.0%)","9.6%","11.0%",NA,"121"
39,"Ohio",39121,"Noble",2020,"10.3%",NA,"(9.7% - 11.0%)","9.7%","11.0%",NA,"121"
39,"Ohio",39121,"Noble",2021,"10.4%",NA,"(9.1% - 11.8%)","9.1%","11.8%",NA,"121"
39,"Ohio",39133,"Portage",2018,"9.5%",NA,"(9.0% - 10.2%)","9.0%","10.2%",NA,"133"
39,"Ohio",39133,"Portage",2019,"10.1%",NA,"(9.5% - 10.7%)","9.5%","10.7%",NA,"133"
39,"Ohio",39133,"Portage",2020,"10.1%",NA,"(9.5% - 10.6%)","9.5%","10.6%",NA,"133"
39,"Ohio",39133,"Portage",2021,"10.4%",NA,"(9.1% - 11.6%)","9.1%","11.6%",NA,"133"
39,"Ohio",39135,"Preble",2018,"9.7%",NA,"(9.1% - 10.3%)","9.1%","10.3%",NA,"135"
39,"Ohio",39135,"Preble",2019,"10.3%",NA,"(9.7% - 11.0%)","9.7%","11.0%",NA,"135"
39,"Ohio",39135,"Preble",2020,"10.1%",NA,"(9.6% - 10.8%)","9.6%","10.8%",NA,"135"
39,"Ohio",39135,"Preble",2021,"10.2%",NA,"(8.9% - 11.5%)","8.9%","11.5%",NA,"135"
39,"Ohio",39145,"Scioto",2018,"10.9%",NA,"(10.2% - 11.6%)","10.2%","11.6%",NA,"145"
39,"Ohio",39145,"Scioto",2019,"11.3%",NA,"(10.6% - 12.2%)","10.6%","12.2%",NA,"145"
39,"Ohio",39145,"Scioto",2020,"11.5%",NA,"(10.8% - 12.2%)","10.8%","12.2%",NA,"145"
39,"Ohio",39145,"Scioto",2021,"11.4%",NA,"(10.0% - 12.9%)","10.0%","12.9%",NA,"145"
39,"Ohio",39151,"Stark",2018,"9.8%",NA,"(9.3% - 10.4%)","9.3%","10.4%",NA,"151"
39,"Ohio",39151,"Stark",2019,"10.8%",NA,"(10.2% - 11.4%)","10.2%","11.4%",NA,"151"
39,"Ohio",39151,"Stark",2020,"10.1%",NA,"(9.6% - 10.7%)","9.6%","10.7%",NA,"151"
39,"Ohio",39151,"Stark",2021,"10.5%",NA,"(9.3% - 11.8%)","9.3%","11.8%",NA,"151"
39,"Ohio",39153,"Summit",2018,"9.5%",NA,"(9.0% - 10.0%)","9.0%","10.0%",NA,"153"
39,"Ohio",39153,"Summit",2019,"10.4%",NA,"(9.9% - 11.0%)","9.9%","11.0%",NA,"153"
39,"Ohio",39153,"Summit",2020,"10.4%",NA,"(10.0% - 11.0%)","10.0%","11.0%",NA,"153"
39,"Ohio",39153,"Summit",2021,"10.5%",NA,"(9.4% - 11.8%)","9.4%","11.8%",NA,"153"
39,"Ohio",39155,"Trumbull",2018,"10.2%",NA,"(9.6% - 10.9%)","9.6%","10.9%",NA,"155"
39,"Ohio",39155,"Trumbull",2019,"10.6%",NA,"(10.0% - 11.3%)","10.0%","11.3%",NA,"155"
39,"Ohio",39155,"Trumbull",2020,"11.0%",NA,"(10.4% - 11.6%)","10.4%","11.6%",NA,"155"
39,"Ohio",39155,"Trumbull",2021,"10.9%",NA,"(9.6% - 12.3%)","9.6%","12.3%",NA,"155"
39,"Ohio",39165,"Warren",2018,"8.6%",NA,"(8.1% - 9.2%)","8.1%","9.2%",NA,"165"
39,"Ohio",39165,"Warren",2019,"9.1%",NA,"(8.6% - 9.7%)","8.6%","9.7%",NA,"165"
39,"Ohio",39165,"Warren",2020,"9.4%",NA,"(8.9% - 9.9%)","8.9%","9.9%",NA,"165"
39,"Ohio",39165,"Warren",2021,"9.3%",NA,"(8.2% - 10.6%)","8.2%","10.6%",NA,"165"
